 phoenix-srun: Job 5902 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-31 14:58:48,619][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-31 14:58:49,774][    INFO] Total params: 59.5M

[2022-07-31 14:58:54,759][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-31 14:59:05,641][    INFO] Iters: 0, Total loss: 1.522, Loss x: 3.044, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-31 15:00:29,636][    INFO] Iters: 124, Total loss: 0.557, Loss x: 1.076, Loss s: 0.045, Loss w_fp: 0.031, Mask: 0.259
[2022-07-31 15:01:53,049][    INFO] Iters: 248, Total loss: 0.472, Loss x: 0.904, Loss s: 0.059, Loss w_fp: 0.024, Mask: 0.327
[2022-07-31 15:03:17,183][    INFO] Iters: 372, Total loss: 0.416, Loss x: 0.790, Loss s: 0.061, Loss w_fp: 0.020, Mask: 0.360
[2022-07-31 15:04:40,539][    INFO] Iters: 496, Total loss: 0.380, Loss x: 0.719, Loss s: 0.062, Loss w_fp: 0.018, Mask: 0.381
[2022-07-31 15:06:04,054][    INFO] Iters: 620, Total loss: 0.357, Loss x: 0.673, Loss s: 0.064, Loss w_fp: 0.017, Mask: 0.409
[2022-07-31 15:07:27,341][    INFO] Iters: 744, Total loss: 0.345, Loss x: 0.651, Loss s: 0.062, Loss w_fp: 0.016, Mask: 0.416
[2022-07-31 15:08:51,533][    INFO] Iters: 868, Total loss: 0.330, Loss x: 0.620, Loss s: 0.066, Loss w_fp: 0.016, Mask: 0.428
[2022-07-31 15:13:34,589][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 89.17
[2022-07-31 15:13:34,589][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 72.50
[2022-07-31 15:13:34,589][    INFO] ***** Evaluation ***** >>>> Class [2 bicycle] IoU: 35.84
[2022-07-31 15:13:34,589][    INFO] ***** Evaluation ***** >>>> Class [3 bird] IoU: 67.33
