phoenix-srun: Job 5485 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-29 11:50:06,270][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-29 11:50:07,709][    INFO] Total params: 59.5M

[2022-07-29 11:50:12,634][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-29 11:50:22,505][    INFO] Iters: 0, Total loss: 1.563, Loss x: 3.126, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-29 11:52:05,623][    INFO] Iters: 153, Total loss: 0.521, Loss x: 1.002, Loss s: 0.047, Loss w_fp: 0.033, Mask: 0.338
[2022-07-29 11:53:49,241][    INFO] Iters: 306, Total loss: 0.390, Loss x: 0.736, Loss s: 0.060, Loss w_fp: 0.026, Mask: 0.415
[2022-07-29 11:55:33,655][    INFO] Iters: 459, Total loss: 0.332, Loss x: 0.613, Loss s: 0.076, Loss w_fp: 0.025, Mask: 0.451
[2022-07-29 11:57:18,314][    INFO] Iters: 612, Total loss: 0.299, Loss x: 0.544, Loss s: 0.085, Loss w_fp: 0.024, Mask: 0.475
[2022-07-29 11:59:02,637][    INFO] Iters: 765, Total loss: 0.270, Loss x: 0.488, Loss s: 0.084, Loss w_fp: 0.022, Mask: 0.497
[2022-07-29 12:00:47,153][    INFO] Iters: 918, Total loss: 0.257, Loss x: 0.458, Loss s: 0.087, Loss w_fp: 0.022, Mask: 0.514
[2022-07-29 12:02:31,083][    INFO] Iters: 1071, Total loss: 0.240, Loss x: 0.423, Loss s: 0.091, Loss w_fp: 0.022, Mask: 0.532
[2022-07-29 12:04:15,339][    INFO] Iters: 1224, Total loss: 0.229, Loss x: 0.402, Loss s: 0.092, Loss w_fp: 0.021, Mask: 0.546
[2022-07-29 12:07:39,987][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.60
[2022-07-29 12:07:39,987][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 80.00
